time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,CO2 mGas total,CO2 mOil total,CO2 mTotal
[s],[m],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[?],[?],[?]
410.43280976506406,725,,355.94934869149586,3991.424512262506,0,3991.424512262506,395.4723521570569,425.2186540488346,,,,,,,,128.6088642723473,7.35870702114363,7.35870702114363,7.35870702114363,,,
410.43280976506406,750,0,,,,,,,0,44.65165995553766,0,0,0,44.65165995553766,44.65165995553766,,,,,,,
410.43280976506406,775,,356.4186588046812,3975.0857127282343,0,3975.0857127282343,395.3113613231952,425.2186540488346,,,,,,,,128.48098810765353,7.392395082883979,7.392395082883979,7.392395082883979,,,
410.43280976506406,800,0,,,,,,,0,44.42417927096269,0,0,0,44.42417927096269,44.42417927096269,,,,,,,
410.43280976506406,825,,356.40740714577936,3959.063606312716,0,3959.0636063127154,395.152329338927,425.2186540488346,,,,,,,,128.35433225292687,7.411408942511571,7.411408942511571,7.411408942511571,,,
410.43280976506406,850,0,,,,,,,0,44.20079389494702,0,0,0,44.20079389494702,44.20079389494702,,,,,,,
410.43280976506406,875,,356.10614421958644,3943.250747107251,0,3943.250747107251,394.99423408478407,425.2186540488346,,,,,,,,128.2288827596511,7.420741172374164,7.420741172374164,7.420741172374164,,,
410.43280976506406,900,0,,,,,,,0,43.980293007275726,0,0,0,43.980293007275726,43.980293007275726,,,,,,,
410.43280976506406,925,,355.6327631891801,3927.574838537504,0,3927.574838537504,394.8363778376972,425.2186540488346,,,,,,,,128.10462764396166,7.423822751072635,7.423822751072635,7.423822751072635,,,
410.43280976506406,950,0,,,,,,,0,43.76181707643218,0,0,0,43.76181707643218,43.76181707643218,,,,,,,
410.43280976506406,975,,104.09348049932312,3962.129468576487,0,3962.1294685764865,395.18285001386545,425.2186540488346,,,,,,,,80.06597091662991,4.6131637386274065,4.6131637386274065,4.6131637386274065,,,
410.43280976506406,1000,0,,,,,,,0,43.75168433232334,0,0,0,43.75168433232334,43.75168433232334,,,,,,,
611.9072298511638,0,0,,,,,,,0,50,0,0,0,50,50,,,,,,,
611.9072298511638,25,,339.1066350090928,4626.00716145612,0,4626.00716145612,400.92151087548945,425.2186540488346,,,,,,,,141.2484249803869,0.409777282947573,0.409777282947573,0.409777282947573,,,
611.9072298511638,50,0,,,,,,,0,49.98617247050729,0,0,0,49.98617247050729,49.98617247050729,,,,,,,
611.9072298511638,75,,326.38455509402513,4621.038159721637,0,4621.038159721637,400.88415133394926,425.2186540488346,,,,,,,,141.100672981177,0.7810834295162294,0.7810834295162294,0.7810834295162294,,,
611.9072298511638,100,0,,,,,,,0,49.97071804855418,0,0,0,49.97071804855418,49.97071804855418,,,,,,,
611.9072298511638,125,,312.95004445407216,4615.652066273868,0,4615.652066273868,400.8435729191621,425.2186540488346,,,,,,,,140.9525525823981,1.1239992052692855,1.1239992052692855,1.1239992052692855,,,
611.9072298511638,150,0,,,,,,,0,49.952852965769765,0,0,0,49.952852965769765,49.952852965769765,,,,,,,
611.9072298511638,175,,298.521456288367,4610.229833233957,0,4610.229833233957,400.80263478632077,425.2186540488346,,,,,,,,140.80423638493835,1.4447138811938771,1.4447138811938771,1.4447138811938771,,,
611.9072298511638,200,0,,,,,,,0,49.931452693547115,0,0,0,49.931452693547115,49.931452693547115,,,,,,,
611.9072298511638,225,,282.7432630303717,4604.579826501551,0,4604.579826501551,400.7598833026413,425.2186540488346,,,,,,,,140.65576329750516,1.7493456599138426,1.7493456599138426,1.7493456599138426,,,
611.9072298511638,250,0,,,,,,,0,49.905206199702256,0,0,0,49.905206199702256,49.905206199702256,,,,,,,
611.9072298511638,275,,265.2176721079795,4598.531614470448,0,4598.531614470448,400.7140124729375,425.2186540488346,,,,,,,,140.50717502416842,2.043290440865462,2.043290440865462,2.043290440865462,,,
611.9072298511638,300,0,,,,,,,0,49.87282874480704,0,0,0,49.87282874480704,49.87282874480704,,,,,,,
611.9072298511638,325,,245.52593710699847,4591.958149185342,0,4591.958149185342,400.6640329434284,425.2186540488346,,,,,,,,140.35851611283405,2.3306809827276425,2.3306809827276425,2.3306809827276425,,,
611.9072298511638,350,0,,,,,,,0,49.833262773755926,0,0,0,49.833262773755926,49.833262773755926,,,,,,,
611.9072298511638,375,,223.21837868234664,4584.787418959922,0,4584.787418959922,400.60936311478974,425.2186540488346,,,,,,,,140.20983342019068,2.6140860507841808,2.6140860507841808,2.6140860507841808,,,
