time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s]
400.43056208143196,525,,929.7052882638237,9092.337026173025,0,9092.337026173025,418.7486540079299,425.2186540488346,,,,,,,,88.42826956842205,31.839149196665176,31.839149196665176,31.839149196665176,4,,,,,
400.43056208143196,550,0,,,,,,,0,100.01048406074533,0,-5.822479454123e-58,0,100.01048406074533,100.01048406074533,,,,,,,,,8.064694195789306,8.064694195789295
400.43056208143196,575,,916.3758406975148,9037.704282330747,0,9037.704282330747,418.632105875989,425.2186540488346,,,,,,,,87.4923639979389,31.1189364251278,31.1189364251278,31.1189364251278,4,,,,,
400.43056208143196,600,0,,,,,,,0,100.01235291826566,0,-1.6251405639544762e-57,0,100.01235291826566,100.01235291826566,,,,,,,,,7.960438127283319,7.960438127283308
400.43056208143196,625,,879.3512988505328,8759.433815259214,0,8759.433815259214,418.0169864863759,425.2186540488346,,,,,,,,86.56746813895616,30.356938511366025,30.356938511366025,30.356938511366025,4,,,,,
400.43056208143196,650,0,,,,,,,0,100.01462219697937,0,-4.153219946717932e-57,0,100.01462219697937,100.01462219697937,,,,,,,,,7.854332503143617,7.854332503143606
400.43056208143196,675,,865.5116161797594,8719.92802481139,0,8719.92802481139,417.926628656141,425.2186540488346,,,,,,,,85.65541471345833,29.592765933996816,29.592765933996816,29.592765933996816,4,,,,,
400.43056208143196,700,0,,,,,,,0,100.0171988126967,0,-9.7809241222953e-57,0,100.0171988126967,100.0171988126967,,,,,,,,,7.752388918843688,7.752388918843677
400.43056208143196,725,,852.1546284653798,8683.178484279637,0,8683.178484279637,417.84187229795043,425.2186540488346,,,,,,,,84.75552551815395,28.838151821221686,28.838151821221686,28.838151821221686,4,,,,,
400.43056208143196,750,0,,,,,,,0,100.0201267477501,0,-2.1337886734229495e-56,0,100.0201267477501,100.0201267477501,,,,,,,,,7.655674177110854,7.6556741771108445
400.43056208143196,775,,838.7051106148742,8646.781699732315,0,8646.781699732315,417.7572537140022,425.2186540488346,,,,,,,,83.8670468084887,28.093171036980436,28.093171036980436,28.093171036980436,4,,,,,
400.43056208143196,800,0,,,,,,,0,100.02345804520506,0,-4.332604698164905e-56,0,100.02345804520506,100.02345804520506,,,,,,,,,7.56393246483929,7.56393246483928
400.43056208143196,825,,981.8127064834345,8612.871844294199,0,8612.871844294199,417.67780463713353,425.2186540488346,,,,,,,,82.98938816858616,27.35800754094555,27.35800754094555,27.35800754094555,4,,,,,
400.43056208143196,850,0,,,,,,,0,100.02725168471922,0,-8.222894635112937e-56,0,100.02725168471922,100.02725168471922,,,,,,,,,7.476919455512772,7.476919455512762
400.43056208143196,875,,1030.2374418908223,8580.498996998369,0,8580.498996998369,417.6013992973583,425.2186540488346,,,,,,,,82.12198868632301,26.63290858322921,26.63290858322921,26.63290858322921,4,,,,,
400.43056208143196,900,0,,,,,,,0,100.03157719729649,0,-1.46439468650848e-55,0,100.03157719729649,100.03157719729649,,,,,,,,,7.394403352958594,7.394403352958585
400.43056208143196,925,,966.9233386413746,8549.106447858023,0,8549.106447858023,417.52678198593566,425.2186540488346,,,,,,,,81.26431359130078,25.91817794124512,25.91817794124512,25.91817794124512,4,,,,,
400.43056208143196,950,0,,,,,,,0,100.0365189217929,0,-2.4557234671504825e-55,0,100.0365189217929,100.0365189217929,,,,,,,,,7.316159034628664,7.3161590346286545
400.43056208143196,975,,868.2806540616409,8519.920310697618,0,8519.920310697618,417.4569400312811,425.2186540488346,,,,,,,,80.41585339454531,25.21406660996621,25.21406660996621,25.21406660996621,4,,,,,
400.43056208143196,1000,0,,,,,,,0,100.04217390005294,0,-3.8903496731560526e-55,0,100.04217390005294,100.04217390005294,,,,,,,,,7.278486249975369,7.2784862499753595
602.6192806197125,0,0,,,,,,,0,100,0,0,0,100,100,,,,,,,,,9.29830816538578,9.29830816538578
602.6192806197125,25,,993.5559345549041,9312.93494490354,0,9312.93494490354,419.20597401680914,425.2186540488346,,,,,,,,98.50838247575106,39.47118911875583,39.47118911875583,39.47118911875583,4,,,,,
602.6192806197125,50,0,,,,,,,0,100.00000704462278,0,-2.314290378334669e-87,0,100.00000704462278,100.00000704462278,,,,,,,,,9.231369547418195,9.231369547418183
